product_id,product_name,inspector_notes,return_reason,classification
40,Logitech Harmony Elite Universal Remote,May require restock. Occasion cancelled.,Occasion cancelled,restock
44,Netgear ProSAFE 16-Port Gigabit Switch,Inspected: Major malfunction. Needs further review.,Major malfunction,recycle
35,Noctua NH-D15 CPU Cooler,Possible recycle case. Manufacturing defect.,Manufacturing defect,recycle
48,August Wi-Fi Smart Lock Pro,Inspected: Size chart was incorrect. Needs further review.,Size chart was incorrect,restock
32,Samsung 980 PRO 2TB NVMe SSD,Inspected: Multiple components failed. Needs further review.,Multiple components failed,recycle
95,Patagonia Houdini Windbreaker,Initial check: Received as gift.,Received as gift,restock
40,Logitech Harmony Elite Universal Remote,Assessment: Duplicate order.,Duplicate order,restock
30,Razer BlackWidow V4 Gaming Keyboard,Observed: Occasion cancelled.,Occasion cancelled,restock
16,Amazon Basics High-Speed HDMI Cable,Possible issue: Color not as shown.,Color not as shown,restock
30,Razer BlackWidow V4 Gaming Keyboard,Inspected: style doesn't match. Needs further review.,style doesn't match,restock
76,Smartwool PhD Outdoor Light Crew Socks,Returned due to: Unwanted purchase.,Unwanted purchase,restock
74,Patagonia P-6 Logo Trucker Hat,Further testing needed: Obvious repair needed.,Obvious repair needed,recycle
29,Meta Quest 3 128GB VR Headset,May require recycle. Minor button issue.,Minor button issue,recycle
97,Patagonia Torrentshell 3L Raincoat,Possible overlap with other categories. Style doesn't match.,Style doesn't match,restock
46,Ring Video Doorbell Pro 2 Smart Doorbell,Potential restock situation. No longer needed.,No longer needed,restock
27,Ring Stick Up Cam Battery Security Camera,May require refurbish. heavy wear.,heavy wear,refurbish
36,Fractal Design Define 7 PC Case,Potential refurbish situation. Slight discoloration.,Slight discoloration,refurbish
42,APC Back-UPS Pro 1500VA Surge Protector,Potential restock situation. Duplicate order.,Duplicate order,restock
99,Allbirds Tree Runners Casual Shoes,Customer notes: Fit not as expected.,Fit not as expected,restock
69,Lululemon Align High-Rise Leggings,Potential recycle situation. Fabric completely deteriorated (customer unclear).,Fabric completely deteriorated (customer unclear),recycle
30,Razer BlackWidow V4 Gaming Keyboard,Possible issue: Received as gift.,Received as gift,restock
43,CyberPower CP1500PFCLCD UPS Battery,See attached: Slight color fading.,Slight color fading,refurbish
100,Christian Louboutin So Kate 120mm High Heels,Further testing needed: minor zipper issue.,minor zipper issue,refurbish
76,Smartwool PhD Outdoor Light Crew Socks,Visual inspection: Size chart was incorrect.,Size chart was incorrect,restock
13,Logitech C920s HD Pro Webcam,Possible overlap with other categories. Major scratch.,Major scratch,recycle
19,SanDisk Ultra 128GB MicroSD Card,Notes: Manufacturing defect.,Manufacturing defect,recycle
79,Patagonia Baggies Swim Shorts,Assessment: Minor alignment issue.,Minor alignment issue,refurbish
17,ASUS AX6000 WiFi 6 Router,Initial check: Heavy wear.,Heavy wear,refurbish
24,Bose QuietComfort 45 Noise Cancelling Headphones,Assessment: Major scratch.,Major scratch,refurbish
3,Anker PowerLine III USB-C Cable,Flagged: Noticeable dent.,Noticeable dent,recycle
28,DJI Mini 3 Pro Drone,Visual inspection: Torn beyond repair (customer unclear).,Torn beyond repair (customer unclear),restock
1,Sony WH-1000XM4 Wireless Bluetooth Headphones,Customer reported: Minor warping.,Minor warping,refurbish
18,Seagate Backup Plus 4TB External Hard Drive,See attached: Loose thread.,Loose thread,refurbish
3,Anker PowerLine III USB-C Cable,See attached: Box opened but item unused.,Box opened but item unused,refurbish
44,Netgear ProSAFE 16-Port Gigabit Switch,Possible issue: noticeable dent.,noticeable dent,recycle
88,Rolex Submariner Date 41mm Watch,Customer reported: Minor zipper issue.,Minor zipper issue,refurbish
47,Nest Learning Thermostat 4th Gen,Assessment: Fire damage.,Fire damage,recycle
27,Ring Stick Up Cam Battery Security Camera,Assessment: Did not like the product.,Did not like the product,restock
70,Uniqlo Heattech Cotton Tank Top,Returned due to: Duplicate order.,Duplicate order,restock
77,Calvin Klein Cotton Classics Underwear,Reported: Major scratch.,Major scratch,refurbish
71,L.L.Bean Fisherman Knit Cardigan,Uncertain: Beyond repair.,Beyond repair,recycle
44,Netgear ProSAFE 16-Port Gigabit Switch,See attached: Obvious usage marks.,Obvious usage marks,restock
89,Tiffany & Co. T Smile Necklace,Visual inspection: Slight wear on edges.,Slight wear on edges,refurbish
19,SanDisk Ultra 128GB MicroSD Card,Returned due to: Slight stretching.,Slight stretching,recycle
80,Lululemon Swiftly Tech Long Sleeve Workout Top,Possible issue: Significant fading.,Significant fading,refurbish
68,Birkenstock Arizona Soft Footbed Sandals,Flagged: Small puncture.,Small puncture,refurbish
21,Tomtoc 360 Protective Laptop Bag,Possible refurbish case. Significant fading.,Significant fading,refurbish
48,August Wi-Fi Smart Lock Pro,Assessment: light usage wear.,light usage wear,refurbish
41,J Channel Cable Management Raceway,Inspected: Product arrived late. Needs further review.,Product arrived late,refurbish
29,Meta Quest 3 128GB VR Headset,Notes: Received as gift.,Received as gift,restock
82,Hermès H-pattern Silk Tie,Visual inspection: Extreme weather damage.,Extreme weather damage,recycle
46,Ring Video Doorbell Pro 2 Smart Doorbell,Reported: Cracked screen.,Cracked screen,restock
46,Ring Video Doorbell Pro 2 Smart Doorbell,May require restock. Fit not as expected.,Fit not as expected,restock
45,TP-Link RE650 AC2600 Wi-Fi Extender,May require restock. Color not as shown.,Color not as shown,restock
70,Uniqlo Heattech Cotton Tank Top,Assessment: Packaging slightly damaged.,Packaging slightly damaged,refurbish
63,Timberland 6-Inch Premium Waterproof Boots,Returned due to: Electrical short circuit.,Electrical short circuit,recycle
34,ASUS ROG Strix Z790-E Gaming Motherboard,Returned due to: small chip.,small chip,refurbish
12,Microsoft Xbox Wireless Controller,Unclear if refurbish or other. Minor dent.,Minor dent,refurbish
57,Dockers Alpha Khaki Slim Tapered Pants,Possible recycle case. Obvious repair needed.,Obvious repair needed,recycle
59,Patagonia Better Sweater Fleece Jacket,May require restock. Family member disapproval.,Family member disapproval,restock
75,The North Face Etip Recycled Gloves,Unclear if restock or other. Wrong size ordered.,Wrong size ordered,restock
27,Ring Stick Up Cam Battery Security Camera,See attached: Obvious usage marks.,Obvious usage marks,refurbish
98,Zimmermann Silk Maxi Formal Dress,Reported: Minor button issue.,Minor button issue,refurbish
21,Tomtoc 360 Protective Laptop Bag,Visual inspection: Color not as shown.,Color not as shown,refurbish
76,Smartwool PhD Outdoor Light Crew Socks,Further testing needed: Small hole.,Small hole,refurbish
37,Samsung 65-inch Neo QLED 4K Smart TV,Unclear if refurbish or other. Heavy wear.,Heavy wear,refurbish
36,Fractal Design Define 7 PC Case,Unclear if restock or other. Style doesn't match.,Style doesn't match,restock
100,Christian Louboutin So Kate 120mm High Heels,Possible overlap with other categories. noticeable dent.,noticeable dent,recycle
41,J Channel Cable Management Raceway,Potential restock situation. Gift return.,Gift return,restock
20,Amazon Basics RJ45 Cat-6 Ethernet Cable,Flagged: Hazardous material exposure.,Hazardous material exposure,recycle
10,Apple Watch Series 9 45mm GPS,Returned due to: Ordered wrong quantity.,Ordered wrong quantity,restock
61,Patagonia Baggies 5-inch Shorts,Uncertain: Ordered wrong quantity.,Ordered wrong quantity,restock
25,Amazon Echo Dot 5th Gen Smart Home Hub,Visual inspection: Slight discoloration.,Slight discoloration,refurbish
12,Microsoft Xbox Wireless Controller,Customer reported: Motor failure.,Motor failure,recycle
69,Lululemon Align High-Rise Leggings,Returned due to: Multiple components failed.,Multiple components failed,refurbish
30,Razer BlackWidow V4 Gaming Keyboard,Assessment: Slight wear on edges.,Slight wear on edges,refurbish
56,Brooks Brothers Non-Iron Dress Shirt,Initial check: Unwanted purchase.,Unwanted purchase,restock
75,The North Face Etip Recycled Gloves,Uncertain: Cosmetic imperfection.,Cosmetic imperfection,refurbish
92,Lululemon Align High-Rise Pant Activewear,Observed: obvious repair needed.,obvious repair needed,recycle
74,Patagonia P-6 Logo Trucker Hat,Possible issue: Minor scuff mark.,Minor scuff mark,restock
53,Levi's 511 Slim Fit Denim Jeans,Unclear if recycle or other. Fire damage.,Fire damage,recycle
62,Champion Powerblend Fleece Sweatpants,Possible issue: Duplicate order.,Duplicate order,restock
100,Christian Louboutin So Kate 120mm High Heels,Flagged: Major malfunction.,Major malfunction,recycle
65,Patagonia Better Sweater Fleece Sweater,Further testing needed: permanent staining.,permanent staining,recycle
50,Amazon Kindle Paperwhite 11th Gen E-Reader,Uncertain: Small scratch.,Small scratch,refurbish
84,Patagonia Black Hole 25L Backpack,Returned due to: Gift return.,Gift return,restock
81,Hugo Boss Huge6/Genius5 Slim Fit Suit,Uncertain: Minor zipper issue.,Minor zipper issue,refurbish
68,Birkenstock Arizona Soft Footbed Sandals,Customer notes: Color not as shown.,Color not as shown,restock
22,Belkin MagSafe Car Phone Mount,Returned due to: Wrong size ordered.,Wrong size ordered,restock
47,Nest Learning Thermostat 4th Gen,Visual inspection: Size chart was incorrect.,Size chart was incorrect,restock
5,Logitech MX Master 3S Wireless Mouse,Possible recycle case. size chart was incorrect.,size chart was incorrect,recycle
42,APC Back-UPS Pro 1500VA Surge Protector,Notes: Box opened but item unused.,Box opened but item unused,refurbish
94,Lululemon Energy Bra High Support Sports Bra,Uncertain: Irreparable damage.,Irreparable damage,recycle
91,Tom Ford Oud Wood Cologne,Observed: Material feel different.,Material feel different,restock
85,Hermès Birkin 30 Togo Leather Handbag,Returned due to: Minor functionality issue.,Minor functionality issue,refurbish
34,ASUS ROG Strix Z790-E Gaming Motherboard,See attached: unwanted purchase.,unwanted purchase,restock
79,Patagonia Baggies Swim Shorts,Possible overlap with other categories. Noticeable dent.,Noticeable dent,refurbish
21,Tomtoc 360 Protective Laptop Bag,Flagged: Budget constraints.,Budget constraints,restock
54,Champion Powerblend Fleece Hoodie,Observed: changed mind.,changed mind,restock
92,Lululemon Align High-Rise Pant Activewear,Customer reported: Occasion cancelled.,Occasion cancelled,restock
40,Logitech Harmony Elite Universal Remote,Reported: Minor alignment issue.,Minor alignment issue,refurbish
19,SanDisk Ultra 128GB MicroSD Card,Reported: Different style preferred (customer unclear).,Different style preferred (customer unclear),restock
95,Patagonia Houdini Windbreaker,Possible refurbish case. Obvious repair needed.,Obvious repair needed,refurbish
63,Timberland 6-Inch Premium Waterproof Boots,Assessment: slight wear on edges.,slight wear on edges,refurbish
27,Ring Stick Up Cam Battery Security Camera,Returned due to: Hazardous material exposure.,Hazardous material exposure,recycle
18,Seagate Backup Plus 4TB External Hard Drive,Assessment: Minor dent.,Minor dent,refurbish
70,Uniqlo Heattech Cotton Tank Top,Inspected: Small puncture. Needs further review.,Small puncture,restock
45,TP-Link RE650 AC2600 Wi-Fi Extender,Returned due to: Budget constraints.,Budget constraints,restock
93,Alo Yoga 7/8 High-Waist Leggings,Possible overlap with other categories. different style preferred.,different style preferred,restock
1,Sony WH-1000XM4 Wireless Bluetooth Headphones,Reported: Did not like the product.,Did not like the product,restock
44,Netgear ProSAFE 16-Port Gigabit Switch,Reported: Light usage wear.,Light usage wear,refurbish
96,Moncler Genius Down Puffer Jacket,Reported: Electrical short circuit.,Electrical short circuit,recycle
98,Zimmermann Silk Maxi Formal Dress,Returned due to: Ordered wrong quantity.,Ordered wrong quantity,restock
52,Hanes Beefy-T 100% Cotton T-Shirt,Possible issue: Obvious repair needed.,Obvious repair needed,refurbish
16,Amazon Basics High-Speed HDMI Cable,Visual inspection: Received as gift.,Received as gift,restock
96,Moncler Genius Down Puffer Jacket,Observed: Safety hazard.,Safety hazard,recycle
10,Apple Watch Series 9 45mm GPS,Assessment: Severe fading.,Severe fading,recycle
48,August Wi-Fi Smart Lock Pro,Observed: Obvious repair needed (customer unclear).,Obvious repair needed (customer unclear),recycle
19,SanDisk Ultra 128GB MicroSD Card,Assessment: Did not like the product.,Did not like the product,restock
18,Seagate Backup Plus 4TB External Hard Drive,See attached: Did not like the product.,Did not like the product,restock
31,Corsair Vengeance LPX 32GB DDR4 RAM,Unclear if refurbish or other. Minor dent (customer unclear).,Minor dent (customer unclear),refurbish
70,Uniqlo Heattech Cotton Tank Top,Customer notes: Multiple components failed.,Multiple components failed,refurbish
44,Netgear ProSAFE 16-Port Gigabit Switch,Observed: Minor functionality issue (customer unclear).,Minor functionality issue (customer unclear),refurbish
78,Eberjey Gisele Long PJ Set,Unclear if refurbish or other. Small hole.,Small hole,refurbish
46,Ring Video Doorbell Pro 2 Smart Doorbell,Notes: Product arrived late.,Product arrived late,restock
14,Blue Yeti USB Microphone,Customer reported: Cracked screen.,Cracked screen,recycle
48,August Wi-Fi Smart Lock Pro,Initial check: Budget constraints.,Budget constraints,restock
50,Amazon Kindle Paperwhite 11th Gen E-Reader,May require restock. Fit not as expected.,Fit not as expected,restock
68,Birkenstock Arizona Soft Footbed Sandals,Customer notes: Budget constraints.,Budget constraints,restock
78,Eberjey Gisele Long PJ Set,Possible issue: Major scratch.,Major scratch,refurbish
92,Lululemon Align High-Rise Pant Activewear,Reported: Size chart was incorrect.,Size chart was incorrect,restock
19,SanDisk Ultra 128GB MicroSD Card,Customer reported: Fit not as expected.,Fit not as expected,restock
28,DJI Mini 3 Pro Drone,Possible overlap with other categories. Ordered wrong quantity.,Ordered wrong quantity,restock
8,ZAGG InvisibleShield iPad Screen Protector,Further testing needed: Unwanted purchase.,Unwanted purchase,restock
90,Chanel No. 5 Eau de Parfum,Customer notes: Small chip.,Small chip,refurbish
77,Calvin Klein Cotton Classics Underwear,May require restock. Wrong size ordered.,Wrong size ordered,restock
74,Patagonia P-6 Logo Trucker Hat,See attached: Overheating damage.,Overheating damage,recycle
94,Lululemon Energy Bra High Support Sports Bra,Possible restock case. Product arrived late.,Product arrived late,restock
75,The North Face Etip Recycled Gloves,Notes: Small stain.,Small stain,refurbish
24,Bose QuietComfort 45 Noise Cancelling Headphones,Unclear if restock or other. Received as gift.,Received as gift,restock
9,JBL Flip 6 Portable Bluetooth Speaker,See attached: irreparable damage.,irreparable damage,recycle
51,Epson Home Cinema 2150 Wireless Projector,Customer notes: small puncture.,small puncture,recycle
78,Eberjey Gisele Long PJ Set,Customer notes: Major impact damage.,Major impact damage,recycle
32,Samsung 980 PRO 2TB NVMe SSD,Visual inspection: Ordered wrong quantity.,Ordered wrong quantity,restock
30,Razer BlackWidow V4 Gaming Keyboard,Flagged: Manufacturing defect.,Manufacturing defect,recycle
86,Montblanc Meisterstück 6CC Wallet,Notes: Slight color fading.,Slight color fading,refurbish
39,Sonos Beam Gen 2 Smart Sound Bar,Observed: minor scuff mark.,minor scuff mark,refurbish
99,Allbirds Tree Runners Casual Shoes,Inspected: Minor warping. Needs further review.,Minor warping,refurbish
35,Noctua NH-D15 CPU Cooler,May require restock. Budget constraints.,Budget constraints,restock
41,J Channel Cable Management Raceway,Returned due to: Budget constraints.,Budget constraints,restock
29,Meta Quest 3 128GB VR Headset,Potential refurbish situation. Cosmetic imperfection.,Cosmetic imperfection,refurbish
78,Eberjey Gisele Long PJ Set,May require restock. received as gift.,received as gift,restock
50,Amazon Kindle Paperwhite 11th Gen E-Reader,Initial check: Torn beyond repair.,Torn beyond repair,recycle
85,Hermès Birkin 30 Togo Leather Handbag,May require refurbish. Small stain.,Small stain,refurbish
5,Logitech MX Master 3S Wireless Mouse,See attached: Changed mind.,Changed mind,restock
39,Sonos Beam Gen 2 Smart Sound Bar,May require restock. Fabric completely deteriorated.,Fabric completely deteriorated,restock
81,Hugo Boss Huge6/Genius5 Slim Fit Suit,Flagged: Occasion cancelled.,Occasion cancelled,restock
8,ZAGG InvisibleShield iPad Screen Protector,Potential refurbish situation. Occasion cancelled.,Occasion cancelled,refurbish
18,Seagate Backup Plus 4TB External Hard Drive,Possible restock case. different style preferred (customer unclear).,different style preferred (customer unclear),restock
43,CyberPower CP1500PFCLCD UPS Battery,Notes: Received as gift.,Received as gift,restock
52,Hanes Beefy-T 100% Cotton T-Shirt,Inspected: Obvious usage marks. Needs further review.,Obvious usage marks,recycle
87,Ray-Ban Aviator Classic Sunglasses,Further testing needed: Major malfunction.,Major malfunction,recycle
53,Levi's 511 Slim Fit Denim Jeans,May require refurbish. Small puncture.,Small puncture,refurbish
86,Montblanc Meisterstück 6CC Wallet,Uncertain: Duplicate order.,Duplicate order,restock
89,Tiffany & Co. T Smile Necklace,Customer reported: Obvious repair needed.,Obvious repair needed,refurbish
96,Moncler Genius Down Puffer Jacket,Notes: Minor alignment issue.,Minor alignment issue,refurbish
69,Lululemon Align High-Rise Leggings,Flagged: Significant fading.,Significant fading,refurbish
89,Tiffany & Co. T Smile Necklace,Assessment: Family member disapproval.,Family member disapproval,restock
29,Meta Quest 3 128GB VR Headset,Flagged: Small fabric pull.,Small fabric pull,refurbish
7,Anker PowerPort III 65W Phone Charger,Returned due to: Cosmetic imperfection.,Cosmetic imperfection,refurbish
82,Hermès H-pattern Silk Tie,Initial check: Small chip.,Small chip,refurbish
78,Eberjey Gisele Long PJ Set,Visual inspection: Beyond repair.,Beyond repair,recycle
28,DJI Mini 3 Pro Drone,See attached: Packaging slightly damaged.,Packaging slightly damaged,refurbish
32,Samsung 980 PRO 2TB NVMe SSD,See attached: Ordered wrong quantity.,Ordered wrong quantity,restock
19,SanDisk Ultra 128GB MicroSD Card,Further testing needed: Fire damage.,Fire damage,recycle
67,Reformation Silk Midi Dress,Customer reported: Size chart was incorrect.,Size chart was incorrect,recycle
78,Eberjey Gisele Long PJ Set,Customer reported: Obvious usage marks.,Obvious usage marks,refurbish
92,Lululemon Align High-Rise Pant Activewear,Customer notes: Color not as shown.,Color not as shown,restock
84,Patagonia Black Hole 25L Backpack,Reported: Electrical short circuit.,Electrical short circuit,recycle
2,Apple iPhone 15 Pro Silicone Case,Notes: Color not as shown.,Color not as shown,restock
14,Blue Yeti USB Microphone,Notes: slight wear on edges.,slight wear on edges,refurbish
75,The North Face Etip Recycled Gloves,Possible recycle case. Minor button issue.,Minor button issue,recycle
95,Patagonia Houdini Windbreaker,Assessment: family member disapproval.,family member disapproval,restock
48,August Wi-Fi Smart Lock Pro,Assessment: Motor failure.,Motor failure,recycle
98,Zimmermann Silk Maxi Formal Dress,Uncertain: Noticeable dent.,Noticeable dent,recycle
28,DJI Mini 3 Pro Drone,Possible overlap with other categories. Overheating damage.,Overheating damage,recycle
52,Hanes Beefy-T 100% Cotton T-Shirt,Potential refurbish situation. Small scratch.,Small scratch,refurbish
62,Champion Powerblend Fleece Sweatpants,Initial check: Significant fading.,Significant fading,refurbish
97,Patagonia Torrentshell 3L Raincoat,Reported: Fire damage.,Fire damage,recycle
46,Ring Video Doorbell Pro 2 Smart Doorbell,Initial check: Minor cosmetic damage.,Minor cosmetic damage,refurbish
8,ZAGG InvisibleShield iPad Screen Protector,See attached: Obvious repair needed.,Obvious repair needed,restock
84,Patagonia Black Hole 25L Backpack,Reported: Heavy wear.,Heavy wear,recycle
34,ASUS ROG Strix Z790-E Gaming Motherboard,Possible issue: Seasonal preference change.,Seasonal preference change,restock
33,NVIDIA GeForce RTX 4080 Graphics Card,Assessment: Minor button issue.,Minor button issue,refurbish
94,Lululemon Energy Bra High Support Sports Bra,Flagged: Minor button issue.,Minor button issue,refurbish
4,Rain Design mStand Laptop Stand,Inspected: Light usage wear. Needs further review.,Light usage wear,recycle
90,Chanel No. 5 Eau de Parfum,Customer reported: Minor zipper issue (customer unclear).,Minor zipper issue (customer unclear),refurbish
72,Canada Goose Expedition Parka Coat,Visual inspection: Changed mind.,Changed mind,restock
91,Tom Ford Oud Wood Cologne,Customer notes: Material feel different.,Material feel different,restock
98,Zimmermann Silk Maxi Formal Dress,See attached: Ordered wrong quantity.,Ordered wrong quantity,restock
83,Gucci GG Marmont Leather Belt,Returned due to: Slight discoloration.,Slight discoloration,refurbish
49,Fitbit Charge 5 Advanced Fitness Tracker,Reported: Minor button issue.,Minor button issue,refurbish
35,Noctua NH-D15 CPU Cooler,Possible recycle case. Beyond repair.,Beyond repair,recycle
21,Tomtoc 360 Protective Laptop Bag,Possible overlap with other categories. Changed mind.,Changed mind,recycle
85,Hermès Birkin 30 Togo Leather Handbag,Possible recycle case. Overheating damage.,Overheating damage,recycle
91,Tom Ford Oud Wood Cologne,Visual inspection: Duplicate order.,Duplicate order,restock
72,Canada Goose Expedition Parka Coat,Potential restock situation. Material feel different.,Material feel different,restock
62,Champion Powerblend Fleece Sweatpants,See attached: product arrived late.,product arrived late,restock
22,Belkin MagSafe Car Phone Mount,Returned due to: Changed mind.,Changed mind,restock
68,Birkenstock Arizona Soft Footbed Sandals,May require refurbish. Small stain.,Small stain,refurbish
30,Razer BlackWidow V4 Gaming Keyboard,See attached: Slight wear on edges.,Slight wear on edges,refurbish
3,Anker PowerLine III USB-C Cable,Customer reported: Major impact damage.,Major impact damage,restock
85,Hermès Birkin 30 Togo Leather Handbag,Visual inspection: Changed mind.,Changed mind,restock
97,Patagonia Torrentshell 3L Raincoat,Possible overlap with other categories. Changed mind.,Changed mind,restock
28,DJI Mini 3 Pro Drone,Flagged: size chart was incorrect.,size chart was incorrect,restock
27,Ring Stick Up Cam Battery Security Camera,Possible issue: Adhesive residue.,Adhesive residue,refurbish
48,August Wi-Fi Smart Lock Pro,May require restock. Fit not as expected.,Fit not as expected,restock
1,Sony WH-1000XM4 Wireless Bluetooth Headphones,Observed: Slight stretching.,Slight stretching,refurbish
9,JBL Flip 6 Portable Bluetooth Speaker,Inspected: Cosmetic imperfection. Needs further review.,Cosmetic imperfection,recycle
48,August Wi-Fi Smart Lock Pro,Possible issue: Severe fading.,Severe fading,recycle
48,August Wi-Fi Smart Lock Pro,Observed: Gift return (customer unclear).,Gift return (customer unclear),restock
4,Rain Design mStand Laptop Stand,Initial check: Slight color fading.,Slight color fading,refurbish
